,Unnamed: 0,Centar,GaziBaba,Karpos,Lisice,Miladinovci,Mobile,Rektorat,time
36212,36212,0.2876,0.9219,0.5644,,,,0.3708,2012-01-01 00:00:00
36213,36213,0.1538,1.2029,0.8275,,0.3858,,0.4097,2012-01-01 01:00:00
36214,36214,0.16,1.3198,0.7423,,0.3346,,0.4061,2012-01-01 02:00:00
36215,36215,0.1699,1.1449,0.4445,,0.3549,,0.65,2012-01-01 03:00:00
36216,36216,0.1539,0.8092,0.5121,,0.2553,,0.7198,2012-01-01 04:00:00
36217,36217,0.3339,0.9109999999999999,0.3212,,0.235,,0.4996,2012-01-01 05:00:00
36218,36218,0.2842,0.6975,0.2895,,0.2747,,1.0451,2012-01-01 06:00:00
36219,36219,0.2764,0.5036,0.4113,,0.556,,1.0105,2012-01-01 07:00:00
36220,36220,0.4637,0.6053,0.2043,,0.6111,,0.8715,2012-01-01 08:00:00
36221,36221,0.1658,0.6313,1.1520000000000001,,0.8885,,,2012-01-01 09:00:00
36222,36222,0.9144,0.4594,0.8574,,0.6788,,,2012-01-01 10:00:00
36223,36223,0.7871,0.2263,0.7594,,0.5966,,,2012-01-01 11:00:00
36224,36224,0.9724,0.1228,0.8734,,0.2767,,,2012-01-01 12:00:00
36225,36225,0.9603,0.1073,0.8426,,0.2196,,,2012-01-01 13:00:00
36226,36226,0.2573,0.0423,0.7569,,0.09300000000000001,,,2012-01-01 14:00:00
36227,36227,0.1584,0.0175,0.7329,,0.4033,,,2012-01-01 15:00:00
36228,36228,0.37799999999999995,0.2488,0.1529,,0.5551,,,2012-01-01 16:00:00
36229,36229,1.124,0.8955,0.9562,,1.0201,,,2012-01-01 17:00:00
36230,36230,1.8887,1.0065,2.7227,,1.0481,,0.2011,2012-01-01 18:00:00
36231,36231,2.0125,1.0746,1.7253,,1.1187,,0.3057,2012-01-01 19:00:00
36232,36232,1.8524,1.1421,1.0687,,1.3149,,0.5612,2012-01-01 20:00:00
36233,36233,2.4528,1.4345,1.5948,,1.3778,,0.5614,2012-01-01 21:00:00
36234,36234,3.447,2.3724,1.881,,,,1.4085,2012-01-01 22:00:00
36235,36235,2.7515,3.3144,2.0779,,,,2.6267,2012-01-01 23:00:00
36236,36236,2.2904,4.6257,3.1607,,,,1.5597,2012-01-02 00:00:00
36237,36237,3.2824,3.9455,2.7564,,,,2.2676,2012-01-02 01:00:00
36238,36238,2.1628,3.0815,1.7996,,,,2.7202,2012-01-02 02:00:00
36239,36239,3.036,2.6241,1.6685,,,,2.0012,2012-01-02 03:00:00
36240,36240,2.1494,1.6428,1.0605,,,,1.0735,2012-01-02 04:00:00
36241,36241,1.8441,2.097,1.1368,,,,1.3057,2012-01-02 05:00:00
36242,36242,1.3077,1.8258,1.1226,,,,0.5868,2012-01-02 06:00:00
36243,36243,1.3025,1.7408,0.872,,,,0.6682,2012-01-02 07:00:00
36244,36244,2.0281,1.2082,0.8031,,,,0.6104,2012-01-02 08:00:00
36245,36245,1.3635,1.2406,0.7921,,,,0.5875,2012-01-02 09:00:00
36246,36246,1.7243,2.7489,1.0026,,,,1.1329,2012-01-02 10:00:00
36247,36247,1.8821,2.5315,1.8947,,,,1.2839,2012-01-02 11:00:00
