,Unnamed: 0,Centar,GaziBaba,Karpos,Lisice,Miladinovci,Mobile,Rektorat,time
36212,36212,27.5615,,31.1979,40.2691,,,,2012-01-01 00:00:00
36213,36213,16.1041,,34.4904,33.352,,,,2012-01-01 01:00:00
36214,36214,2.8074,,3.2517,32.626999999999995,,,,2012-01-01 02:00:00
36215,36215,2.3009,,27.3558,27.2408,,,,2012-01-01 03:00:00
36216,36216,20.5436,,39.6147,41.2352,,,,2012-01-01 04:00:00
36217,36217,50.2116,,32.9931,23.459,,,,2012-01-01 05:00:00
36218,36218,50.7957,,37.7433,49.4159,,,,2012-01-01 06:00:00
36219,36219,49.9327,,13.8277,48.0338,,,,2012-01-01 07:00:00
36220,36220,42.5982,,20.1192,43.3035,,,,2012-01-01 08:00:00
36221,36221,34.6957,,11.3396,41.2713,,,,2012-01-01 09:00:00
36222,36222,10.6191,,6.3232,63.551,,,,2012-01-01 10:00:00
36223,36223,7.0164,,5.4162,54.4549,,,,2012-01-01 11:00:00
36224,36224,9.7187,,5.4634,10.5321,,,,2012-01-01 12:00:00
36225,36225,10.8655,,5.2051,5.834,,,,2012-01-01 13:00:00
36226,36226,11.2119,,6.8326,6.2843,,,,2012-01-01 14:00:00
36227,36227,20.4716,,6.5629,7.0992,,,,2012-01-01 15:00:00
36228,36228,40.9766,,17.8207,7.4513,,,,2012-01-01 16:00:00
36229,36229,57.3151,,53.3757,32.9844,,,,2012-01-01 17:00:00
36230,36230,63.3534,,63.9804,62.8669,,,,2012-01-01 18:00:00
36231,36231,65.2376,,49.7339,65.4309,,,,2012-01-01 19:00:00
36232,36232,60.8589,,40.9099,63.1692,,,,2012-01-01 20:00:00
36233,36233,58.5297,,49.5737,57.5464,,,,2012-01-01 21:00:00
36234,36234,240.06599999999997,,48.144,42.3447,,,,2012-01-01 22:00:00
36235,36235,54.2518,,49.3196,43.3035,,,,2012-01-01 23:00:00
36236,36236,50.5743,,42.8497,44.2432,,,,2012-01-02 00:00:00
36237,36237,52.2811,,37.9372,42.8356,,,,2012-01-02 01:00:00
36238,36238,44.2144,,51.8068,47.4526,,,,2012-01-02 02:00:00
36239,36239,44.8172,,30.2372,49.3441,,,,2012-01-02 03:00:00
36240,36240,40.5653,,27.5815,33.6807,,,,2012-01-02 04:00:00
36241,36241,34.6741,,25.8144,39.6149,,,,2012-01-02 05:00:00
36242,36242,31.3821,,25.0126,30.7827,,,,2012-01-02 06:00:00
36243,36243,24.0477,,21.9398,30.3069,,,,2012-01-02 07:00:00
36244,36244,34.3831,,39.1934,23.4756,,,,2012-01-02 08:00:00
36245,36245,32.8379,,22.7034,36.4359,,,,2012-01-02 09:00:00
36246,36246,37.9062,,32.6933,28.807,,,,2012-01-02 10:00:00
36247,36247,53.6225,,42.0126,36.0037,,,,2012-01-02 11:00:00
36248,36248,59.0929,,40.619,153.4568,,,,2012-01-02 12:00:00
36249,36249,90.0288,,40.8704,68.9575,,,,2012-01-02 13:00:00
36250,36250,70.1875,,35.7705,43.803000000000004,,,,2012-01-02 14:00:00
36251,36251,74.3995,,58.1249,43.9443,,,,2012-01-02 15:00:00
36252,36252,75.2135,,63.4061,41.4613,,,,2012-01-02 16:00:00
36253,36253,71.2969,,86.5186,53.4781,,,,2012-01-02 17:00:00
36254,36254,6.5461,,82.0141,98.9926,,,,2012-01-02 18:00:00
36255,36255,74.2681,,76.4231,102.4505,,,,2012-01-02 19:00:00
36256,36256,10.3959,,70.11,,,,,2012-01-02 20:00:00
36257,36257,54.2589,,62.2496,,,,,2012-01-02 21:00:00
36258,36258,67.9143,,56.8003,,,,,2012-01-02 22:00:00
36259,36259,65.3816,,52.6385,,,,,2012-01-02 23:00:00
36260,36260,53.2155,,47.5991,,,,,2012-01-03 00:00:00
36261,36261,52.3006,,42.5401,,,,,2012-01-03 01:00:00
36262,36262,45.6402,,38.4913,,,,,2012-01-03 02:00:00
36263,36263,76.1683,,33.286,,,,,2012-01-03 03:00:00
