,Unnamed: 0,Centar,GaziBaba,Karpos,Lisice,Miladinovci,Mobile,Rektorat,time
36212,36212,22.6658,,22.791,8.0383,,,7.1541,2012-01-01 00:00:00
36213,36213,33.9524,,2.4778,10.0362,,,6.4485,2012-01-01 01:00:00
36214,36214,32.6988,,15.6506,9.9571,,,9.1569,2012-01-01 02:00:00
36215,36215,31.947,,25.6524,13.4646,,,5.5608,2012-01-01 03:00:00
36216,36216,31.54,,14.6374,8.021,,,8.2465,2012-01-01 04:00:00
36217,36217,8.5324,,17.867,12.2576,,,5.8112,2012-01-01 05:00:00
36218,36218,2.5771,,11.432,2.4774,,,5.8339,2012-01-01 06:00:00
36219,36219,2.6971,,9.3245,1.7827,,,5.7429,2012-01-01 07:00:00
36220,36220,0.4247,,2.3828,1.7689,,,5.6518,2012-01-01 08:00:00
36221,36221,8.9588,,35.765,1.7723,,,8.2464,2012-01-01 09:00:00
36222,36222,37.2728,,48.63399999999999,1.8134,,,17.5325,2012-01-01 10:00:00
36223,36223,47.926,,55.9824,8.3715,,,26.7276,2012-01-01 11:00:00
36224,36224,50.528999999999996,,59.6964,22.0624,,,33.783,2012-01-01 12:00:00
36225,36225,50.865,,63.992,25.6632,,,30.846999999999998,2012-01-01 13:00:00
36226,36226,53.955,,63.5672,27.29,,,36.9922,2012-01-01 14:00:00
36227,36227,49.8974,,64.351,31.0248,,,34.3748,2012-01-01 15:00:00
36228,36228,26.7664,,52.505,33.6662,,,24.2238,2012-01-01 16:00:00
36229,36229,7.6431,,16.3195,21.9424,,,18.4428,2012-01-01 17:00:00
36230,36230,1.0312,,6.6676,6.0947,,,9.3616,2012-01-01 18:00:00
36231,36231,0.0,,7.232,2.9305,,,7.7911,2012-01-01 19:00:00
36232,36232,0.0,,14.7627,2.2598,,,11.7741,2012-01-01 20:00:00
36233,36233,0.0,,5.5439,3.7283,,,6.562,2012-01-01 21:00:00
36234,36234,0.8427,,3.5903,2.9991,,,8.6787,2012-01-01 22:00:00
36235,36235,0.4835,,4.751,3.2089,,,8.2007,2012-01-01 23:00:00
36236,36236,0.0,,8.3906,2.4315,,,6.084,2012-01-02 00:00:00
36237,36237,0.2304,,5.6769,2.1597,,,8.2235,2012-01-02 01:00:00
36238,36238,0.8655,,2.7583,2.3867,,,7.7227,2012-01-02 02:00:00
36239,36239,0.0,,3.3126,1.74,,,5.6288,2012-01-02 03:00:00
36240,36240,0.0,,1.8825,1.8603,,,4.946000000000001,2012-01-02 04:00:00
36241,36241,0.0,,1.626,1.8912,,,5.4239,2012-01-02 05:00:00
36242,36242,0.0,,1.4533,2.0287,,,3.9673,2012-01-02 06:00:00
36243,36243,0.0,,1.1848,2.4964,,,4.0128,2012-01-02 07:00:00
36244,36244,0.0,,1.5514,1.8875,,,3.6941,2012-01-02 08:00:00
36245,36245,0.0,,5.2556,3.7379,,,4.4452,2012-01-02 09:00:00
36246,36246,3.425,,11.535,2.1798,,,6.0839,2012-01-02 10:00:00
36247,36247,11.902999999999999,,17.3494,2.0524,,,9.202,2012-01-02 11:00:00
36248,36248,2.6982,,35.1192,5.3888,,,15.3699,2012-01-02 12:00:00
36249,36249,31.0998,,5.694,14.7411,,,27.8652,2012-01-02 13:00:00
36250,36250,31.939,,56.9394,21.7546,,,34.5566,2012-01-02 14:00:00
36251,36251,35.5396,,51.7958,23.244,,,20.7412,2012-01-02 15:00:00
36252,36252,12.9873,,46.6692,28.5516,,,16.212,2012-01-02 16:00:00
36253,36253,6.6559,,6.971,22.7694,,,5.6514,2012-01-02 17:00:00
36254,36254,0.6459999999999999,,7.3384,4.6627,,,8.246,2012-01-02 18:00:00
36255,36255,0.0,,6.7454,3.2833,,,6.2886,2012-01-02 19:00:00
36256,36256,0.0,,6.2764,,,,6.1748,2012-01-02 20:00:00
36257,36257,0.0,,5.537999999999999,,,,5.5148,2012-01-02 21:00:00
36258,36258,0.0,,5.885,,,,6.4251,2012-01-02 22:00:00
36259,36259,0.0,,6.335,,,,5.5147,2012-01-02 23:00:00
36260,36260,0.0,,5.1589,,,,5.8561,2012-01-03 00:00:00
36261,36261,0.0,,4.2919,,,,7.4265,2012-01-03 01:00:00
36262,36262,0.0,,2.9512,,,,6.3796,2012-01-03 02:00:00
36263,36263,0.0,,3.0762,,,,5.1505,2012-01-03 03:00:00
36264,36264,0.0,,1.8889,,,,5.2871,2012-01-03 04:00:00
36265,36265,0.0,,1.3573,,,,5.5602,2012-01-03 05:00:00
36266,36266,0.0,,1.4654,,,,4.8774,2012-01-03 06:00:00
36267,36267,0.0,,2.3158,,,,4.2856,2012-01-03 07:00:00
36268,36268,0.0,,1.6231,,,,5.3098,2012-01-03 08:00:00
36269,36269,0.0,,5.032,,,,4.1718,2012-01-03 09:00:00
36270,36270,0.2558,,10.4498,,,,4.9001,2012-01-03 10:00:00
36271,36271,1.3832,,15.35,,,,5.5828,2012-01-03 11:00:00
36272,36272,9.8295,,15.6717,,,,7.8133,2012-01-03 12:00:00
