,Unnamed: 0,Centar,GaziBaba,Karpos,Lisice,Miladinovci,Mobile,Rektorat,time
36212,36212,33.3369,147.036,53.5518,51.4799,4.0717,,67.7699,2012-01-01 00:00:00
36213,36213,22.703000000000003,186.47099999999998,91.0442,40.2183,17.1251,,84.12,2012-01-01 01:00:00
36214,36214,20.7956,176.718,66.4194,51.9866,13.7951,,77.58,2012-01-01 02:00:00
36215,36215,24.9218,101.535,49.4371,57.2999,20.7067,,87.23,2012-01-01 03:00:00
36216,36216,26.9868,84.2333,53.2615,53.7198,14.1101,,90.74,2012-01-01 04:00:00
36217,36217,25.002,70.6116,37.4502,41.6699,14.2951,,86.1499,2012-01-01 05:00:00
36218,36218,26.6523,63.4659,29.8063,116.861,9.5717,,108.29,2012-01-01 06:00:00
36219,36219,25.1041,42.7333,47.9835,127.096,16.1617,,101.23,2012-01-01 07:00:00
36220,36220,46.248000000000005,44.3516,35.7715,100.262,21.1867,,102.17,2012-01-01 08:00:00
36221,36221,27.4503,2.8567,25.1736,107.118,22.0784,,37.5699,2012-01-01 09:00:00
36222,36222,19.1177,2.62,21.1065,52.0766,4.4768,,3.01,2012-01-01 10:00:00
36223,36223,15.2939,2.6033,16.8756,13.95,11.4134,,20.11,2012-01-01 11:00:00
36224,36224,15.9605,2.5983,14.1736,13.1666,11.6251,,29.36,2012-01-01 12:00:00
36225,36225,17.2137,13.7966,14.0338,5.5083,9.6134,,26.91,2012-01-01 13:00:00
36226,36226,17.2856,41.876000000000005,12.6897,14.565,21.105,,0.16,2012-01-01 14:00:00
36227,36227,20.4294,96.4966,15.2252,30.4149,33.6934,,17.98,2012-01-01 15:00:00
36228,36228,35.7399,101.695,26.9706,28.4466,50.405,,83.9299,2012-01-01 16:00:00
36229,36229,72.1683,160.995,71.2115,48.2632,102.682,,76.1599,2012-01-01 17:00:00
36230,36230,116.21600000000001,152.94,139.216,112.626,98.9447,,66.0399,2012-01-01 18:00:00
36231,36231,128.01,151.415,99.9838,229.481,82.9882,,73.0299,2012-01-01 19:00:00
36232,36232,109.816,139.23,77.5615,246.04,76.6548,,84.35,2012-01-01 20:00:00
36233,36233,119.40700000000001,138.205,104.803,284.991,84.0681,,90.25,2012-01-01 21:00:00
36234,36234,242.64,151.612,114.839,522.0509999999999,,,100.65,2012-01-01 22:00:00
36235,36235,174.94400000000002,219.31599999999997,145.925,436.474,,,207.03,2012-01-01 23:00:00
36236,36236,147.464,272.7,222.43599999999998,309.897,,,187.24,2012-01-02 00:00:00
36237,36237,243.928,315.205,184.783,350.534,,,185.54,2012-01-02 01:00:00
36238,36238,147.774,256.036,119.27600000000001,342.62300000000005,,,226.28,2012-01-02 02:00:00
36239,36239,220.082,193.975,109.52600000000001,266.26099999999997,,,192.96,2012-01-02 03:00:00
36240,36240,140.62,144.336,87.9487,247.468,,,141.42,2012-01-02 04:00:00
36241,36241,106.89399999999999,133.126,88.2064,227.226,,,114.85,2012-01-02 05:00:00
36242,36242,84.8921,134.904,89.5811,209.718,,,100.7,2012-01-02 06:00:00
36243,36243,91.478,126.71,75.8535,189.15,,,91.86,2012-01-02 07:00:00
36244,36244,130.312,85.0879,78.6841,168.84799999999998,,,96.1499,2012-01-02 08:00:00
36245,36245,105.2,3.61,84.2229,152.245,,,53.59,2012-01-02 09:00:00
36246,36246,105.61200000000001,22.12,87.5803,163.923,,,76.2999,2012-01-02 10:00:00
36247,36247,148.542,102.82700000000001,96.1709,49.325,,,113.91,2012-01-02 11:00:00
36248,36248,117.469,90.5199,86.9225,105.17,,,113.57,2012-01-02 12:00:00
36249,36249,106.916,79.6449,71.2432,125.96600000000001,,,87.0599,2012-01-02 13:00:00
36250,36250,120.061,105.264,66.1801,134.053,,,55.71,2012-01-02 14:00:00
36251,36251,148.525,120.37299999999999,103.87799999999999,117.34299999999999,,,101.27,2012-01-02 15:00:00
36252,36252,130.257,128.41,116.93,129.94799999999998,,,119.4,2012-01-02 16:00:00
36253,36253,124.87200000000001,265.528,138.033,142.481,,,213.5,2012-01-02 17:00:00
36254,36254,145.017,363.713,244.532,283.269,,,221.74,2012-01-02 18:00:00
36255,36255,174.835,443.853,251.767,449.466,,,250.13,2012-01-02 19:00:00
36256,36256,199.563,,248.59599999999998,,,,195.08,2012-01-02 20:00:00
36257,36257,218.861,295.328,228.99400000000003,,,,176.74,2012-01-02 21:00:00
36258,36258,210.56900000000002,350.26,233.483,,,,169.6,2012-01-02 22:00:00
36259,36259,219.07299999999998,361.131,223.85,,,,172.61,2012-01-02 23:00:00
36260,36260,187.34099999999998,323.486,209.579,,,,161.12,2012-01-03 00:00:00
36261,36261,182.202,287.14,194.645,,,,186.98,2012-01-03 01:00:00
36262,36262,168.24,283.563,171.49599999999998,,,,209.89,2012-01-03 02:00:00
36263,36263,171.68200000000002,256.57599999999996,175.695,,,,195.06,2012-01-03 03:00:00
36264,36264,140.789,197.63,143.281,,,,147.41,2012-01-03 04:00:00
36265,36265,273.848,195.28,112.51899999999999,,,,163.06,2012-01-03 05:00:00
36266,36266,172.415,147.15,116.49,,,,153.55,2012-01-03 06:00:00
36267,36267,134.667,161.84,164.75900000000001,,,,129.7,2012-01-03 07:00:00
36268,36268,141.885,159.61,132.685,,,,126.75,2012-01-03 08:00:00
36269,36269,143.9,62.0933,104.818,,,,103.49,2012-01-03 09:00:00
36270,36270,107.038,25.9,99.8185,,,,91.73,2012-01-03 10:00:00
36271,36271,202.12400000000002,171.96,89.1775,,,,177.08,2012-01-03 11:00:00
36272,36272,232.235,241.146,144.806,,,,201.98,2012-01-03 12:00:00
36273,36273,180.331,217.937,174.923,,,,196.39,2012-01-03 13:00:00
36274,36274,130.362,120.766,133.079,,,,118.18,2012-01-03 14:00:00
36275,36275,134.753,125.23200000000001,114.008,,,,123.76,2012-01-03 15:00:00
36276,36276,127.49700000000001,140.188,125.956,,,,173.51,2012-01-03 16:00:00
36277,36277,120.014,306.156,173.079,397.585,,,288.74,2012-01-03 17:00:00
36278,36278,163.32,410.624,285.552,530.019,,,254.13,2012-01-03 18:00:00
36279,36279,253.205,415.74800000000005,304.743,552.119,,,303.77,2012-01-03 19:00:00
36280,36280,262.78,327.346,253.173,590.1759999999999,,,318.57,2012-01-03 20:00:00
36281,36281,279.828,359.149,265.307,693.297,,,327.75,2012-01-03 21:00:00
36282,36282,351.56800000000004,372.343,287.31,774.029,,,459.3,2012-01-03 22:00:00
36283,36283,372.87800000000004,386.899,519.014,768.002,,,442.98,2012-01-03 23:00:00
36284,36284,379.26099999999997,409.605,463.083,810.4860000000001,,,396.58,2012-01-04 00:00:00
36285,36285,442.022,396.89300000000003,356.684,693.931,,,375.33,2012-01-04 01:00:00
36286,36286,313.007,328.01599999999996,287.388,500.98900000000003,,,389.88,2012-01-04 02:00:00
36287,36287,284.328,379.148,267.568,425.314,,,263.28,2012-01-04 03:00:00
36288,36288,282.855,368.686,250.28799999999998,397.991,,,301.62,2012-01-04 04:00:00
36289,36289,243.179,323.149,229.46599999999998,337.20099999999996,,,257.03,2012-01-04 05:00:00
36290,36290,240.827,254.625,156.145,376.824,,,219.98,2012-01-04 06:00:00
36291,36291,242.53400000000002,206.253,166.178,302.368,,,189.47,2012-01-04 07:00:00
36292,36292,207.007,195.923,234.085,303.04400000000004,,,171.66,2012-01-04 08:00:00
36293,36293,224.56,175.945,195.22,429.05199999999996,,,186.32,2012-01-04 09:00:00
36294,36294,273.27,162.608,182.96,341.32300000000004,,,202.03,2012-01-04 10:00:00
36295,36295,332.332,206.63299999999998,192.72099999999998,234.57,,,255.98,2012-01-04 11:00:00
36296,36296,306.155,269.075,217.706,325.504,,,281.85,2012-01-04 12:00:00
36297,36297,267.065,230.74099999999999,228.25099999999998,274.024,,,264.28,2012-01-04 13:00:00
36298,36298,243.58599999999998,191.01,184.071,218.2,126.08200000000001,,205.52,2012-01-04 14:00:00
36299,36299,169.88299999999998,225.77599999999998,142.634,197.04,152.437,,208.65,2012-01-04 15:00:00
36300,36300,175.835,256.582,142.809,260.85900000000004,185.28,,241.58,2012-01-04 16:00:00
36301,36301,134.93200000000002,444.538,190.355,419.49800000000005,260.698,,328.7,2012-01-04 17:00:00
36302,36302,219.08,383.764,270.948,518.1030000000001,262.596,,376.52,2012-01-04 18:00:00
36303,36303,233.33599999999998,464.86400000000003,332.871,503.50199999999995,195.638,,415.29,2012-01-04 19:00:00
36304,36304,274.513,378.713,227.925,558.085,177.967,,301.67,2012-01-04 20:00:00
36305,36305,252.40599999999998,393.64599999999996,269.798,664.816,184.525,,290.12,2012-01-04 21:00:00
36306,36306,251.761,379.99300000000005,257.926,706.4169999999999,171.08,,269.85,2012-01-04 22:00:00
36307,36307,356.62699999999995,315.935,211.955,859.9910000000001,172.368,,271.0,2012-01-04 23:00:00
36308,36308,474.991,331.726,227.579,975.702,178.553,,395.6,2012-01-05 00:00:00
36309,36309,496.69599999999997,297.875,260.01599999999996,718.372,161.503,,303.48,2012-01-05 01:00:00
36310,36310,284.269,345.538,316.82,569.049,114.79299999999999,,294.36,2012-01-05 02:00:00
36311,36311,236.736,300.061,305.149,508.289,110.47,,246.64,2012-01-05 03:00:00
36312,36312,262.67400000000004,277.203,220.738,445.80300000000005,105.417,,265.98,2012-01-05 04:00:00
36313,36313,210.18200000000002,268.0,171.975,386.51800000000003,107.34,,249.3,2012-01-05 05:00:00
36314,36314,159.35299999999998,200.5,130.082,381.32099999999997,111.54299999999999,,184.53,2012-01-05 06:00:00
36315,36315,241.035,251.925,151.07399999999998,297.728,135.84799999999998,,200.88,2012-01-05 07:00:00
36316,36316,203.419,239.805,233.63299999999998,221.226,134.095,,215.15,2012-01-05 08:00:00
36317,36317,237.425,246.27599999999998,253.30599999999998,252.44299999999998,123.77,,215.9,2012-01-05 09:00:00
36318,36318,262.384,253.29,261.69,299.689,146.76,,251.12,2012-01-05 10:00:00
36319,36319,265.978,229.051,246.226,217.22099999999998,93.5598,,267.75,2012-01-05 11:00:00
36320,36320,189.644,243.15599999999998,165.674,268.422,110.618,,262.26,2012-01-05 12:00:00
36321,36321,140.577,182.28099999999998,125.15100000000001,207.61599999999999,96.6748,,166.07,2012-01-05 13:00:00
36322,36322,89.0419,118.904,80.3845,148.905,73.348,,102.29,2012-01-05 14:00:00
36323,36323,72.1458,104.208,63.1066,124.307,58.96,,102.67,2012-01-05 15:00:00
36324,36324,74.0392,133.536,55.25899999999999,144.97799999999998,59.6583,,108.16,2012-01-05 16:00:00
36325,36325,108.98200000000001,157.135,67.248,173.321,60.9,,103.09,2012-01-05 17:00:00
36326,36326,121.01799999999999,160.458,159.47899999999998,227.975,89.6848,,144.3,2012-01-05 18:00:00
36327,36327,153.132,207.41,216.757,232.831,113.06700000000001,,225.04,2012-01-05 19:00:00
36328,36328,204.2,255.90599999999998,209.96,436.649,152.495,,228.66,2012-01-05 20:00:00
36329,36329,251.857,288.681,338.375,357.283,125.72200000000001,,320.34,2012-01-05 21:00:00
36330,36330,320.768,336.958,309.358,469.406,134.208,,400.31,2012-01-05 22:00:00
36331,36331,292.416,442.316,225.74900000000002,417.913,54.7783,,334.25,2012-01-05 23:00:00
36332,36332,357.14,353.05400000000003,191.856,351.481,45.2233,,342.85,2012-01-06 00:00:00
36333,36333,290.45599999999996,364.36800000000005,202.99400000000003,371.981,79.3031,,311.92,2012-01-06 01:00:00
36334,36334,240.03900000000002,220.32,160.55700000000002,329.384,61.8965,,219.64,2012-01-06 02:00:00
36335,36335,220.517,181.933,162.013,260.41900000000004,54.485,,256.35,2012-01-06 03:00:00
36336,36336,155.159,197.653,114.281,236.804,100.65299999999999,,188.13,2012-01-06 04:00:00
36337,36337,132.904,138.001,102.561,164.548,119.167,,136.98,2012-01-06 05:00:00
36338,36338,109.365,130.035,91.1792,136.001,167.28,,119.8,2012-01-06 06:00:00
36339,36339,119.624,123.785,96.5397,132.445,213.96099999999998,,125.4,2012-01-06 07:00:00
36340,36340,111.792,127.24,126.883,131.111,150.265,,153.58,2012-01-06 08:00:00
36341,36341,84.0669,120.37,78.6425,97.7599,149.842,,113.28,2012-01-06 09:00:00
36342,36342,11.1788,75.4982,3.7489999999999997,24.565,151.28799999999998,,47.86,2012-01-06 10:00:00
36343,36343,8.1279,44.1533,2.7539,0.1667,3.9034,,0.16,2012-01-06 11:00:00
36344,36344,9.3995,2.7680000000000002,3.4485,0.1733,0.0534,,0.19,2012-01-06 12:00:00
36345,36345,7.3688,6.5683,5.8505,1.9083,0.0601,,1.35,2012-01-06 13:00:00
36346,36346,9.7512,32.1516,7.2591,8.245,0.2034,,19.3,2012-01-06 14:00:00
36347,36347,11.8432,29.6916,8.2013,7.2533,0.9334,,12.01,2012-01-06 15:00:00
36348,36348,13.4056,19.625999999999998,8.6131,26.5216,1.1951,,15.07,2012-01-06 16:00:00
36349,36349,11.2821,28.2,9.6345,14.415,4.1868,,19.71,2012-01-06 17:00:00
36350,36350,10.777000000000001,22.808000000000003,9.6578,14.9983,3.4134,,15.09,2012-01-06 18:00:00
